100000000
1;16000000000;1.454
1;8000000000;1.484
1;4000000000;1.25
1;2000000000;1.234
1;1000000000;1.25
1;500000000;1.359
1;250000000;1.234
1;100000000;1.25
1;50000000;1.187
1;20000000;1.062
1;10000000;0.859
1;8000000;0.609
1;6000000;0.437
1;4000000;0.391
1;2000000;0.375
1;1000000;0.359
2;16000000000;1.094
2;8000000000;1.078
2;4000000000;1.062
2;2000000000;1.125
2;1000000000;1.079
2;500000000;1.078
2;250000000;1.078
2;100000000;1.109
2;50000000;1.046
2;20000000;0.75
2;10000000;0.281
2;8000000;0.25
2;6000000;0.25
2;4000000;0.234
2;2000000;0.235
2;1000000;0.235
4;16000000000;1.063
4;8000000000;1.047
4;4000000000;1.062
4;2000000000;1.046
4;1000000000;1.062
4;500000000;1.094
4;250000000;1.093
4;100000000;1.047
4;50000000;0.969
4;20000000;0.547
4;10000000;0.203
4;8000000;0.172
4;6000000;0.172
4;4000000;0.156
4;2000000;0.172
4;1000000;0.172
5;16000000000;1.047
5;8000000000;1.078
5;4000000000;1.047
5;2000000000;1.141
5;1000000000;1.156
5;500000000;1.141
5;250000000;1.172
5;100000000;1.172
5;50000000;1.063
5;20000000;0.781
5;10000000;0.297
5;8000000;0.219
5;6000000;0.172
5;4000000;0.188
5;2000000;0.187
5;1000000;0.172
6;16000000000;1.078
6;8000000000;1.109
6;4000000000;1.157
6;2000000000;1.172
6;1000000000;1.141
6;500000000;1.297
6;250000000;1.14
6;100000000;1.109
6;50000000;1
6;20000000;0.547
6;10000000;0.172
6;8000000;0.157
6;6000000;0.14
6;4000000;0.141
6;2000000;0.125
6;1000000;0.156
8;16000000000;1.094
8;8000000000;1.078
8;4000000000;1.047
8;2000000000;1.047
8;1000000000;1.063
8;500000000;1.047
8;250000000;1.063
8;100000000;1.047
8;50000000;0.969
8;20000000;0.375
8;10000000;0.141
8;8000000;0.125
8;6000000;0.125
8;4000000;0.125
8;2000000;0.125
8;1000000;0.141
10;16000000000;1.016
10;8000000000;1
10;4000000000;1.015
10;2000000000;1
10;1000000000;1.032
10;500000000;1.047
10;250000000;0.985
10;100000000;1.016
10;50000000;0.875
10;20000000;0.312
10;10000000;0.11
10;8000000;0.125
10;6000000;0.125
10;4000000;0.11
10;2000000;0.109
10;1000000;0.11
12;16000000000;0.969
12;8000000000;0.985
12;4000000000;1
12;2000000000;0.985
12;1000000000;1.016
12;500000000;0.969
12;250000000;0.969
12;100000000;0.985
12;50000000;0.641
12;20000000;0.188
12;10000000;0.109
12;8000000;0.125
12;6000000;0.125
12;4000000;0.125
12;2000000;0.109
12;1000000;0.094
14;16000000000;0.969
14;8000000000;0.984
14;4000000000;0.985
14;2000000000;0.969
14;1000000000;1
14;500000000;1
14;250000000;0.985
14;100000000;0.984
14;50000000;0.609
14;20000000;0.156
14;10000000;0.109
14;8000000;0.125
14;6000000;0.125
14;4000000;0.109
14;2000000;0.109
14;1000000;0.109
16;16000000000;0.969
16;8000000000;0.953
16;4000000000;0.969
16;2000000000;0.937
16;1000000000;0.953
16;500000000;0.969
16;250000000;0.968
16;100000000;0.969
16;50000000;0.563
16;20000000;0.14
16;10000000;0.109
16;8000000;0.125
16;6000000;0.125
16;4000000;0.109
16;2000000;0.11
16;1000000;0.11
